Wavelength (nm),Absorption Coefficient (cm-1)
400.0160006400256,0.0
400.03200256020483,0.0
400.0480057606913,0.0
400.06401024163864,0.0
400.0800160032006,0.0
400.09602304553096,0.0
400.1120313687833,0.0
400.1280409731114,0.0
400.1440518586691,0.0
400.16006402561027,0.0
400.1760774740886,0.0
400.192092204258,0.0
400.2081082162725,0.0
400.2241255102858,0.0
400.2401440864519,0.0
400.25616394492477,0.0
400.2721850858584,0.0
400.2882075094068,0.0
400.304231215724,0.0
400.320256204964,0.0
400.3362824772809,0.0
400.3523100328289,0.0
400.36833887176203,0.0
400.3843689942345,0.0
400.40040040040043,0.0
400.41643309041405,0.0
400.4324670644296,0.0
400.4485023226013,0.0
400.4645388650835,0.0
400.4805766920304,0.0
400.49661580359646,0.0
400.5126561999359,0.0
400.5286978812032,0.0
400.54474084755265,0.0
400.5607850991388,0.0
400.57683063611603,0.0
400.5928774586388,0.0
400.6089255668616,0.0
400.6249749609391,0.0
400.64102564102564,0.0
400.65707760727594,0.0
400.67313085984455,0.0
400.6891853988861,0.0
400.7052412245552,0.0
400.7212983370066,0.0
400.737356736395,0.0
400.753416422875,0.0
400.7694773966015,0.0
400.78553965772915,0.0
400.80160320641284,0.0
400.8176680428073,0.0
400.8337341670675,0.0
400.8498015793482,0.0
400.86587027980437,0.0
400.8819402685909,0.0
400.89801154586274,0.0
400.91408411177486,0.0
400.9301579664822,0.0
400.94623311013993,0.0
400.962309542903,0.0
400.9783872649264,0.0
400.99446627636536,0.0
401.010546577375,0.0
401.02662816811034,0.0
401.0427110487267,0.0
401.05879521937914,0.0
401.074880680223,0.0
401.09096743141345,0.0
401.1070554731058,0.0
401.1231448054553,0.0
401.13923542861727,0.0
401.1553273427471,0.0
401.1714205480002,0.0
401.18751504453184,0.0
401.2036108324975,0.0
401.2197079120526,0.0
401.2358062833527,0.0
401.2519059465532,0.0
401.2680069018097,0.0
401.2841091492777,0.0
401.3002126891127,0.0
401.3163175214704,0.0
401.3324236465064,0.0
401.3485310643763,0.0
401.3646397752358,0.0
401.3807497792406,0.0
401.3968610765464,0.0
401.4129736673089,0.0
401.429087551684,0.0
401.4452027298274,0.0
401.4613192018949,0.0
401.4774369680424,0.0
401.49355602842576,0.0
401.5096763832008,0.0
401.5257980325236,0.0
401.54192097654993,0.0
401.55804521543587,0.0
401.5741707493374,0.0
401.5902975784105,0.0
401.60642570281124,0.0
401.6225551226957,0.0
401.63868583821994,0.0
401.6548178495401,0.0
401.67095115681235,0.0
401.6870857601928,0.0
401.7032216598377,0.0
401.71935885590324,0.0
401.7354973485457,0.0
401.75163713792136,0.0
401.76777822418643,0.0
401.7839206074973,0.0
401.8000642880103,0.0
401.8162092658818,0.0
401.83235554126816,0.0
401.8485031143259,0.0
401.86465198521137,0.0
401.8808021540811,0.0
401.89695362109154,0.0
401.91310638639925,0.0
401.92926045016077,0.0
401.94541581253264,0.0
401.96157247367154,0.0
401.977730433734,0.0
401.9938896928767,0.0
402.0100502512563,0.0
402.02621210902953,0.0
402.0423752663531,0.0
402.0585397233837,0.0
402.0747054802782,0.0
402.09087253719343,0.0
402.10704089428606,0.0
402.12321055171304,0.0
402.1393815096312,0.0
402.15555376819754,0.0
402.1717273275689,0.0
402.1879021879022,0.0
402.20407834935446,0.0
402.2202558120827,0.0
402.23643457624394,0.0
402.2526146419952,0.0
402.26879600949354,0.0
402.28497867889615,0.0
402.3011626503601,0.0
402.3173479240425,0.0
402.3335345001006,0.0
402.3497223786916,0.0
402.36591155997263,0.0
402.3821020441011,0.0
402.3982938312341,0.0
402.4144869215292,0.0
402.4306813151435,0.0
402.4468770122344,0.0
402.46307401295934,0.0
402.47927231747565,0.0
402.4954719259408,0.0
402.5116728385123,0.0
402.5278750553476,0.0
402.54407857660414,0.0
402.5602834024395,0.0
402.5764895330113,0.0
402.592696968477,0.0
402.60890570899426,0.0
402.62511575472075,0.0
402.6413271058141,0.0
402.65753976243207,0.0
402.6737537247322,0.0
402.68996899287237,0.0
402.7061855670103,0.0
402.72240344730375,0.0
402.7386226339106,0.0
402.7548431269886,0.0
402.77106492669566,0.0
402.78728803318967,0.0
402.80351244662853,0.0
402.8197381671702,0.0
402.83596519497263,0.0
402.85219353019374,0.0
402.8684231729917,0.0
402.88465412352446,0.0
402.90088638195004,0.0
402.9171199484266,0.0
402.93335482311227,0.0
402.9495910061651,0.0
402.9658284977434,0.0
402.98206729800523,0.0
402.9983074071089,0.0
403.0145488252126,0.0
403.0307915524746,0.0
403.0470355890532,0.0
403.06328093510683,0.0
403.07952759079365,0.0
403.09577555627214,0.0
403.11202483170075,0.0
403.1282754172378,0.0
403.14452731304175,0.0
403.1607805192711,0.0
403.17703503608436,0.0
403.19329086364,0.0
403.2095480020967,0.0
403.2258064516129,0.0
403.24206621234725,0.0
403.2583272844584,0.0
403.274589668105,0.0
403.2908533634457,0.0
403.3071183706392,0.0
403.3233846898443,0.0
403.3396523212197,0.0
403.3559212649242,0.0
403.3721915211165,0.0
403.3884630899556,0.0
403.4047359716003,0.0
403.42101016620944,0.0
403.437285673942,0.0
403.4535624949568,0.0
403.46984062941294,0.0
403.4861200774693,0.0
403.502400839285,0.0
403.518682915019,0.0
403.53496630483033,0.0
403.5512510088781,0.0
403.5675370273215,0.0
403.5838243603196,0.0
403.60011300803166,0.0
403.6164029706167,0.0
403.6326942482341,0.0
403.64898684104304,0.0
403.66528074920274,0.0
403.6815759728726,0.0
403.69787251221186,0.0
403.7141703673799,0.0
403.73046953853606,0.0
403.7467700258398,0.0
403.7630718294505,0.0
403.77937494952755,0.0
403.7956793862306,0.0
403.81198513971896,0.0
403.82829221015226,0.0
403.84460059769003,0.0
403.86091030249185,0.0
403.8772213247173,0.0
403.89353366452605,0.0
403.9098473220777,0.0
403.926162297532,0.0
403.94247859104865,0.0
403.9587962027873,0.0
403.97511513290783,0.0
403.9914353815699,0.0
404.00775694893343,0.0
404.02407983515815,0.0
404.04040404040404,0.0
404.0567295648309,0.0
404.0730564085987,0.0
404.0893845718673,0.0
404.10571405479675,0.0
404.122044857547,0.0
404.13837698027805,0.0
404.15471042315,0.0
404.17104518632283,0.0
404.18738126995675,0.0
404.2037186742118,0.0
404.22005739924816,0.0
404.236397445226,0.0
404.25273881230544,0.0
404.26908150064685,0.0
404.28542551041033,0.0
404.3017708417563,0.0
404.31811749484496,0.0
404.33446546983663,0.0
404.35081476689174,0.0
404.36716538617065,0.0
404.3835173278337,0.0
404.3998705920414,0.0
404.41622517895416,0.0
404.4325810887325,0.0
404.4489383215369,0.0
404.4652968775279,0.0
404.4816567568661,0.0
404.498017959712,0.0
404.5143804862263,0.0
404.53074433656957,0.0
404.54710951090254,0.0
404.56347600938585,0.0
404.5798438321803,0.0
404.59621297944653,0.0
404.61258345134536,0.0
404.6289552480375,0.0
404.64532836968397,0.0
404.6617028164454,0.0
404.6780785884829,0.0
404.6944556859571,0.0
404.7108341090291,0.0
404.7272138578598,0.0
404.74359493261016,0.0
404.75997733344127,0.0
404.7763610605141,0.0
404.79274611398966,0.0
404.8091324940291,0.0
404.82552020079345,0.0
404.84190923444396,0.0
404.8582995951417,0.0
404.8746912830479,0.0
404.89108429832373,0.0
404.9074786411305,0.0
404.9238743116294,0.0
404.94027130998177,0.0
404.9566696363489,0.0
404.97306929089217,0.0
404.9894702737729,0.0
405.0058725851525,0.0
405.0222762251924,0.0
405.03868119405405,0.0
405.0550874918989,0.0
405.0714951188885,0.0
405.0879040751843,0.0
405.10431436094797,0.0
405.12072597634096,0.0
405.1371389215249,0.0
405.15355319666156,0.0
405.1699688019124,0.0
405.1863857374392,0.0
405.2028040034037,0.0
405.21922359996756,0.0
405.2356445272926,0.0
405.2520667855406,0.0
405.26849037487335,0.0
405.2849152954527,0.0
405.30134154744053,0.0
405.3177691309987,0.0
405.33419804628915,0.0
405.35062829347385,0.0
405.3670598727147,0.0
405.3834927841738,0.0
405.3999270280131,0.0
405.4163626043947,0.0
405.43279951348063,0.0
405.44923775543305,0.0
405.465677330414,0.0
405.48211823858566,0.0
405.4985604801103,0.0
405.51500405515003,0.0
405.53144896386715,0.0
405.5478952064239,0.0
405.5643427829825,0.0
405.5807916937054,0.0
405.5972419387548,0.0
405.6136935182932,0.0
405.6301464324829,0.0
405.6466006814863,0.0
405.6630562654659,0.0
405.67951318458415,0.0
405.6959714390036,0.0
405.7124310288867,0.0
405.7288919543961,0.0
405.74535421569425,0.0
405.7618178129438,0.0
405.7782827463074,0.0
405.79474901594773,0.0
405.8112166220274,0.0
405.8276855647092,0.0
405.84415584415586,0.0
405.86062746053005,0.0
405.87710041399464,0.0
405.8935747047124,0.0
405.91005033284625,0.0
405.92652729855894,0.0
405.9430056020135,0.0
405.95948524337274,0.0
405.9759662227996,0.0
405.99244854045713,0.0
406.00893219650834,0.0
406.02541719111616,0.0
406.04190352444374,0.0
406.0583911966541,0.0
406.0748802079103,0.0
406.0913705583756,0.0
406.1078622482131,0.0
406.124355277586,0.0
406.14084964665744,0.0
406.15734535559073,0.0
406.17384240454913,0.0
406.19034079369595,0.0
406.2068405231944,0.0
406.2233415932079,0.0
406.2398440038999,0.0
406.2563477554337,0.0
406.2728528479727,0.0
406.2893592816804,0.0
406.3058670567203,0.0
406.32237617325586,0.0
406.33888663145063,0.0
406.3553984314682,0.0
406.37191157347206,0.0
406.3884260576259,0.0
406.4049418840933,0.0
406.421459053038,0.0
406.4379775646236,0.0
406.45449741901393,0.0
406.47101861637265,0.0
406.48754115686353,0.0
406.5040650406504,0.0
406.5205902678971,0.0
406.53711683876736,0.0
406.5536447534252,0.0
406.5701740120345,0.0
406.58670461475907,0.0
406.603236561763,0.0
406.61976985321024,0.0
406.6363044892648,0.0
406.65284047009067,0.0
406.669377795852,0.0
406.68591646671274,0.0
406.70245648283714,0.0
406.7189978443893,0.0
406.7355405515334,0.0
406.7520846044336,0.0
406.76863000325415,0.0
406.7851767481593,0.0
406.8017248393133,0.0
406.8182742768805,0.0
406.83482506102524,0.0
406.8513771919118,0.0
406.8679306697046,0.0
406.8844854945681,0.0
406.9010416666667,0.0
406.9175991861648,0.0
406.934158053227,0.0
406.95071826801774,0.0
406.9672798307016,0.0
406.98384274144314,0.0
407.000407000407,0.0
407.01697260775774,0.0
407.03353956366004,0.0
407.0501078682786,0.0
407.06667752177805,0.0
407.0832485243232,0.0
407.0998208760788,0.0
407.11639457720963,0.0
407.13296962788047,0.0
407.14954602825617,0.0
407.1661237785016,0.0
407.1827028787817,0.0
407.19928332926133,0.0
407.21586513010544,0.0
407.2324482814791,0.0
407.24903278354714,0.0
407.2656186364747,0.0
407.28220584042685,0.0
407.29879439556856,0.0
407.31538430206507,0.0
407.33197556008145,0.0
407.3485681697829,0.0
407.3651621313345,0.0
407.3817574449016,0.0
407.3983541106494,0.0
407.41495212874315,0.0
407.43155149934813,0.0
407.4481522226297,0.0
407.4647542987532,0.0
407.48135772788396,0.0
407.49796251018745,0.0
407.5145686458291,0.0
